Country,Enhanced social distancing of elderly,Social distancing whole population,Unmitigated
Algeria,63329,103677,171534
Angola,29066,39321,54691
Benin,12707,18307,26809
Botswana,2940,4340,6628
Burkina Faso,19055,26005,36433
Burundi,10728,14615,20455
Cabo Verde,780,1163,1823
Cameroon,25550,35534,50535
Central African Republic,4665,6560,9349
Chad,14551,20336,28507
Comoros,929,1301,1894
"Congo, Dem. Rep.",88025,126170,182429
"Congo, Rep.",5607,7697,11058
Cote d'Ivoire,26154,36417,52235
Djibouti,1313,1935,3004
Egypt,140169,211731,332672
Equatorial Guinea,1278,1739,2448
Eritrea,4132,6341,9586
Eswatini,1292,1955,2909
Ethiopia,122578,180157,265429
Gabon,2472,3578,5336
Gambia,2208,3061,4318
Ghana,34397,47538,69815
Guinea,12784,18048,25858
Guinea-Bissau,1908,2662,3795
Kenya,52511,70948,100001
Lesotho,2802,4237,6562
Liberia,5428,7754,11366
Libya,9524,14215,21621
Madagascar,29093,41022,59652
Malawi,17863,25059,35425
Mali,17885,24844,34778
Mauritania,4963,7024,10278
Mauritius,2767,4561,7934
Morocco,56942,93011,157668
Mozambique,29801,42412,60577
Namibia,2879,4173,6219
Niger,21430,29995,42351
Nigeria,200111,274742,391607
Rwanda,13752,19218,27958
Sao Tome and Principe,233,329,475
Senegal,16923,24172,35013
Seychelles,181,285,467
Sierra Leone,8063,11319,16287
Somalia,15088,21478,30769
South Africa,80866,125367,198365
South Sudan,11823,17136,25154
Sudan,48915,71299,105847
Tanzania,56897,78830,111893
Togo,8378,11609,16675
Tunisia,21722,34649,58391
Uganda,37656,50272,68481
Western Sahara,738,993,1501
Zambia,15874,21462,29569
Zimbabwe,14943,21359,30807
Total Result,1434668,2073962,3083241
